2026-02-04T22:20:17.541709 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T22:21:03.360545 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T23:01:01.151504 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-04T23:01:01.754739 | 185.186.250.125 | admin | LOGIN_FAILED |  | FAILED
2026-02-04T23:01:08.351264 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-04T23:01:08.929898 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-04T23:01:09.011733 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T23:06:31.154381 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access /list | DENIED
2026-02-04T23:06:31.202434 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-04T23:06:45.150346 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-04T23:06:45.711131 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-04T23:06:45.895150 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T23:06:58.616987 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T23:07:16.287091 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-05T06:50:52.308636 | 82.118.3.206 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T06:50:52.499883 | 82.118.3.206 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T06:50:55.138844 | 82.118.3.206 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T06:50:56.242122 | 82.118.3.206 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T06:50:56.517443 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T07:05:41.728189 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access /list | DENIED
2026-02-05T07:05:41.775158 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T08:34:25.519442 | 109.175.38.118 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T08:34:25.636538 | 109.175.38.118 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T08:34:28.481563 | 109.175.38.118 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T08:34:29.005332 | 109.175.38.118 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T08:34:29.320277 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T08:34:37.048955 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-05T09:02:27.502209 | 109.175.38.118 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T09:02:27.687056 | 109.175.38.118 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T09:02:30.255879 | 109.175.38.118 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T09:02:31.319544 | 109.175.38.118 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
